ID;ASIGNATURA;SO;RAE
1832611;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);1;1.1 Analiza las relaciones entre fenómenos físicos y modelos matemáticos de orientación y transformaciones, validando el árbol de transformaciones (TF2) en sistemas robóticos distribuidos.
1832612;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);1;1.2 Identifica variables, parámetros cinemáticos y restricciones de articulación para formular y simular modelos de robots y entornos industriales en URDF/XACRO.
1832613;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);1;1.3 Diseña y selecciona los requerimientos para la arquitectura de software distribuido del robot mediante nodos de ROS 2, tópicos, servicios y acciones.
1832614;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);1;1.4 Propone y compara modelos cinemáticos y diferenciales en manipuladores y robots móviles, evaluando el desempeño de la estimación de estado y el jacobiano en ROS 2.
1832621;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);2;2.1 Diseña soluciones de software para control y monitoreo de robots, integrando contratos de comunicación (QoS, interfaces customizadas) y redes DDS robustas.
1832622;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);2;2.2 Incorpora restricciones de red, latencia, ancho de banda y seguridad en la integración de hardware heterogéneo (brazos robóticos, sensores, micro-ROS).
1832623;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);2;2.3 Implementa y valida trayectorias libres de colisiones configurando pipelines de planificación de movimiento en MoveIt 2 sobre entornos industriales modelados experimentalmente.
1832631;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);3;3.1 Elabora documentación técnica reproducible del sistema ROS 2, incluyendo diagramas de nodos, tópicos, servicios, acciones, frames TF y contratos de comunicación DDS.
1832632;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);3;3.2 Sustenta decisiones de arquitectura, integración de hardware y modelado URDF/XACRO usando evidencias verificables de simulación, laboratorio y repositorio.
1832633;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);3;3.3 Comunica resultados experimentales de percepción, calibración y planificación de movimiento mediante informes, bitácoras, métricas, gráficas y demostraciones técnicas.
1832641;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);4;4.1 Identifica riesgos de seguridad física, ciberseguridad y operación colaborativa en celdas robóticas, considerando límites, zonas de trabajo, paradas de emergencia y permisos de red.
1832642;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);4;4.2 Evalúa el impacto profesional, social, económico y ambiental de las decisiones de automatización robótica en contextos de manufactura, logística e inspección.
1832643;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);4;4.3 Aplica buenas prácticas de responsabilidad profesional en el uso de datos de cámara, licencias de software, operación segura del robot y documentación de limitaciones del sistema.
1832651;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);5;5.1 Reconoce habilidades técnicas y define interfaces y roles dentro del equipo de trabajo para el desarrollo distribuido de los nodos de la celda de automatización.
1832652;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);5;5.2 Planifica de manera estructurada las etapas de integración física, configuración de red, modelado de URDF y control en MoveIt 2 dentro del cronograma propuesto.
1832653;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);5;5.3 Organiza equipos de trabajo gestionando repositorios en GitHub mediante ramas (branches), pull requests (PRs) y revisión de código para asegurar la integración reproducible.
1832654;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);5;5.4 Aplica estrategias de comunicación efectiva y resolución de conflictos técnicos, documentando arquitecturas y scripts de configuración en archivos Markdown reproducibles.
1832661;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);6;6.1 Formula hipótesis sobre la precisión del sistema de localización visual en el mundo real, usando marcadores fiduciarios (AprilTags) para anclar el espacio de trabajo.
1832662;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);6;6.2 Identifica variables de red (ROS_DOMAIN_ID, latencias de tópicos) y parámetros de cámara para validar el desempeño de la percepción y comunicación.
1832663;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);6;6.3 Diseña protocolos experimentales para calibrar cámaras y robots manipuladores, analizando resultados experimentales frente a modelos teóricos de simulación.
1832664;ELECTIVA ELECTRONICA (  ROBOT OPERATING SYSTEM);6;6.4 Interpreta fallas y diagnósticos experimentales aplicando protocolos de diagnóstico por capas (Sintaxis -> TF -> Red -> Lógica) para aislar errores en hardware y software.
